,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Puerto Ayora,295.38,61,20,6.2,-0.74,-90.35
1,Bāglung,292.83,76,18,1.09,28.27,83.59
2,New Norfolk,280.37,87,35,0.45,-42.78,147.06
3,Kalutara,299.15,94,40,1.5,6.58,79.96
4,Udachny,272.15,100,90,7.0,66.42,112.4
5,Atkarsk,284.73,43,76,3.24,51.87,45.01
6,Maposeni,294.82,62,53,1.73,-10.58,35.4
7,Les Cayes,303.44,64,4,2.67,18.2,-73.75
8,Bambous Virieux,296.31,83,75,3.6,-20.34,57.76
9,Garissa,302.13,55,37,9.19,-0.45,39.64
10,Rikitea,296.94,79,3,2.84,-23.12,-134.97
11,Arraial do Cabo,300.01,78,2,5.1,-22.97,-42.03
12,Vila Velha,301.81,70,5,9.3,-20.33,-40.29
13,Lagoa,293.51,88,96,8.96,39.05,-27.98
14,Morón,294.71,37,0,3.6,-34.65,-58.62
15,Cabo San Lucas,305.72,58,5,2.1,22.89,-109.91
16,Fortuna,298.17,31,20,3.1,40.6,-124.16
17,Maun,303.15,16,0,4.1,-19.98,23.42
18,Tasiilaq,275.15,80,100,6.2,65.61,-37.64
19,Chokurdakh,278.26,75,87,3.07,70.63,147.92
20,Norman Wells,279.15,93,90,6.7,65.28,-126.83
21,Cabo Rojo,304.72,66,4,2.68,18.09,-67.15
22,Husavik,279.15,60,95,4.6,66.04,-17.34
23,Jamestown,297.21,56,75,8.7,42.1,-79.24
24,Punta Arenas,278.92,52,40,10.3,-53.15,-70.92
25,Umeå,282.9,100,90,0.5,63.83,20.26
26,Edson,293.15,37,40,6.7,53.58,-116.44
27,Nakło nad Notecią,286.17,76,64,3.6,53.14,17.6
28,Walvis Bay,287.64,58,0,2.6,-22.96,14.51
29,Dolores,291.47,47,3,6.1,-36.31,-57.68
30,Hilo,294.93,61,1,2.6,19.73,-155.09
31,Mossamedes,293.15,82,85,5.7,-15.2,12.15
32,Tura,296.49,94,20,0.99,25.52,90.22
33,Ushuaia,275.15,69,40,7.7,-54.8,-68.3
34,Viedma,297.04,32,16,1.79,-40.81,-63.0
35,Kaitangata,274.26,83,45,7.15,-46.28,169.85
36,Meschede,284.82,75,69,1.7,51.35,8.28
37,Pacific Grove,292.48,50,1,1.59,36.62,-121.92
38,Berlevåg,278.15,93,77,2.1,70.86,29.09
39,Mahébourg,296.15,83,75,3.6,-20.41,57.7
40,Carnarvon,291.15,82,0,5.1,-24.87,113.63
41,Glamsbjerg,285.87,93,83,2.1,55.27,10.1
42,Butaritari,300.85,70,88,6.19,3.07,172.79
43,Bluff,273.15,86,85,11.62,-46.6,168.33
44,Albany,297.87,73,94,0.89,42.6,-73.97
45,Vardø,282.15,93,75,9.8,70.37,31.11
46,Tuktoyaktuk,275.15,93,90,3.1,69.45,-133.04
47,Chui,290.96,58,13,5.4,-33.7,-53.46
48,East London,286.15,76,18,2.1,-33.02,27.91
49,Ilulissat,273.15,90,40,1.5,69.22,-51.1
50,Cape Town,285.34,76,40,2.1,-33.93,18.42
51,Saint Anthony,285.18,62,90,6.2,45.02,-93.22
52,Kenai,282.0,81,40,3.1,60.55,-151.26
53,Alofi,297.15,94,25,2.6,-19.06,-169.92
