,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Longitude,Latitude
0,Hermanus,ZA,61.00,89,96,3.2,19.2345,-34.4187
1,Rikitea,PF,80.31,79,100,8.4,-134.9692,-23.1203
2,Arraial do Cabo,BR,75.20,83,75,3.09,-42.0278,-22.9661
3,Yellowknife,CA,10.89,72,20,6.69,-114.3525,62.456
4,Port Alfred,ZA,66.99,91,32,0.45,26.891,-33.5906
5,Torbay,CA,32.54,64,75,8.75,-52.7314,47.6666
6,The Valley,AI,83.10,69,75,7.2,-63.0578,18.217
7,Westport,US,38.80,30,1,4.12,-73.3579,41.1415
8,Arandis,NA,78.03,30,0,3.19,14.9667,-22.4167
9,Pevek,RU,-22.00,85,100,5.01,170.3133,69.7008
10,Punta Arenas,CL,47.12,57,40,15.43,-70.9167,-53.15
11,Qui Nhon,VN,73.40,88,2,2.39,109.2333,13.7667
12,Lebu,CL,66.22,80,57,5.89,-73.65,-37.6167
13,Morant Bay,JM,83.52,51,75,6.17,-76.4093,17.8815
14,Baruun-Urt,MN,16.88,89,0,3.4,113.2792,46.6806
15,Hofn,IS,38.82,74,17,1.98,-15.2082,64.2539
16,Ushuaia,AR,44.60,70,40,12.86,-68.3,-54.8
17,Bluff,NZ,53.01,72,86,6.71,168.3333,-46.6
18,Thompson,CA,37.40,75,75,4.12,-97.8558,55.7435
19,Dapaong,TG,88.75,24,71,0.65,0.205,10.8639
20,Busselton,AU,63.63,88,100,5.87,115.3333,-33.65
21,Mataura,NZ,53.01,72,92,6.71,168.8643,-46.1927
22,Vila Velha,BR,81.32,78,75,4.12,-40.2925,-20.3297
23,Channel-Port aux Basques,CA,24.55,92,100,7.52,-59.1367,47.5702
24,Poum,NC,76.82,75,1,3.93,164.0167,-20.2333
25,Saint Paul Harbor,US,41.00,52,1,7.2,-152.4072,57.79
26,Port Elizabeth,ZA,66.20,94,20,4.63,25.5701,-33.918
27,Jamestown,US,27.93,90,1,4.32,-79.2353,42.097
28,Butaritari,KI,80.55,78,0,3.42,172.7902,3.0707
29,Saint George,US,69.53,16,1,1.95,-113.5841,37.1041
30,Bahía Blanca,AR,77.00,57,75,5.66,-62.2724,-38.7196
31,Malbork,PL,28.26,100,41,3.46,19.0266,54.0359
32,Tezu,IN,64.33,37,0,2.08,96.1667,27.9167
33,Marawi,PH,73.00,90,93,1.79,124.2928,7.9986
34,Klaksvík,FO,41.00,100,75,1.03,-6.589,62.2266
35,Castro,BR,70.57,89,22,1.92,-50.0119,-24.7911
36,Hilo,US,69.37,78,90,5.14,-155.09,19.7297
37,Laas,IT,37.40,75,0,2.06,10.7002,46.6166
38,Rocha,UY,77.65,58,5,3.54,-54.3333,-34.4833
39,Hobart,AU,52.27,87,75,1.17,147.3294,-42.8794
40,Bambous Virieux,MU,79.84,89,40,3.09,57.7575,-20.3428
41,Vostok,RU,4.75,95,100,1.56,135.8833,46.4856
42,Dutlwe,BW,75.87,42,70,3.55,23.9,-23.9833
43,Albany,US,30.27,37,53,5.81,-73.9662,42.6001
44,Mitzic,GA,70.12,94,45,1.13,11.549,0.7821
45,Atuona,PF,79.75,73,23,4.87,-139.0333,-9.8
46,Cardston,CA,41.68,24,0,4.63,-113.3019,49.2
47,Cidreira,BR,75.33,62,2,3.16,-50.2056,-30.1811
48,Māngrol,IN,74.84,83,0,3.53,70.1167,21.1167
49,Ambulu,ID,74.91,86,100,1.54,113.6058,-8.345
50,New Norfolk,AU,51.93,85,100,0.88,147.0587,-42.7826
51,Kawalu,ID,72.50,87,99,1.27,108.2082,-7.3817
52,Fort Madison,US,64.90,39,1,5.66,-91.3151,40.6298
53,São Filipe,CV,71.19,74,2,7.87,-24.4956,14.8961
54,Langsa,ID,73.36,91,92,0.45,97.9683,4.4683
55,Lagoa,PT,60.10,96,92,6.59,-27.9833,39.05
56,Ribeira Grande,PT,62.60,94,75,9.26,-28.7,38.5167
57,Dikson,RU,-16.28,88,99,4.22,80.5464,73.5069
58,Camacha,PT,59.00,94,75,1.54,-16.3333,33.0833
59,Antofagasta,CL,73.62,64,20,8.23,-70.4,-23.65
60,Tongzi,CN,53.55,86,50,0.74,105.0877,28.7829
61,Ketchikan,US,46.40,53,75,1.54,-131.6461,55.3422
62,Olafsvik,IS,40.46,74,97,7.07,-23.7142,64.8945
63,Hong Kong,HK,64.15,91,88,0.89,114.1577,22.2855
64,St. George's,GD,84.20,70,20,9.26,-61.7485,12.0564
65,Krasnokholm,RU,6.91,95,55,4.31,54.1567,51.5979
66,Honningsvåg,NO,26.60,93,75,3.6,25.9704,70.9821
67,Tuktoyaktuk,CA,-18.40,76,40,8.23,-133.0374,69.4541
68,Qaanaaq,GL,-13.63,65,0,2.46,-69.3632,77.484
69,Bengkulu,ID,75.31,81,95,1.56,102.2655,-3.8004
70,Chui,UY,75.13,70,26,4.37,-53.4616,-33.6971
71,Bredasdorp,ZA,62.60,77,100,2.06,20.0403,-34.5322
72,Notre-Dame-du-Lac,CA,23.72,42,76,4.12,-68.7964,47.6136
73,Upernavik,GL,-18.85,84,0,5.54,-56.1549,72.7868
74,Kajaani,FI,12.20,79,0,2.57,27.7285,64.2273
75,Luganville,VU,77.90,82,100,0.32,167.1667,-15.5333
76,Cherskiy,RU,-23.04,87,100,3.24,161.3,68.75
77,Kapaa,US,74.52,69,40,6.17,-159.319,22.0752
78,Khani,GE,37.40,93,90,1.03,42.9566,41.9563
79,Perelyub,RU,19.63,95,100,8.72,50.3667,51.8667
80,Chokurdakh,RU,-13.29,89,100,5.31,147.9167,70.6333
81,Vaini,TO,82.40,89,75,4.63,-175.2,-21.2
82,Katsuura,JP,43.86,87,75,3.09,140.3,35.1333
83,Arlit,NE,82.56,14,43,2.5,7.3853,18.7369
84,Apastovo,RU,19.40,86,90,9,48.5109,55.2029
85,Davila,PH,76.84,80,10,7.58,120.5763,18.4726
86,Oodweyne,SO,63.28,52,25,1.85,45.064,9.4092
